135-15-3121	CSCI101 - 1
132-43-5421	CSCI101 - 2
135-15-3121	CSCI101 - 3
135-15-3121	CSCI102 - 1
135-15-3121	CSCI102 - 2
135-15-3121	CSCI201 - 1
132-43-5421	CSCI202 - 1
132-43-5421	CSCI350 - 1
893-62-4462	CSCI375 - 1
132-43-5421	CSCI321 - 1
549-83-1567	LING101 - 1
549-83-1567	LING101 - 2
264-95-5418	LING101 - 3
264-95-5418	LING101 - 4
549-83-1567	LING102 - 1
264-95-5418	LING102 - 2
264-95-5418	LING102 - 3
789-45-1230	LING201 - 1
789-45-1230	LING201 - 2
549-83-1567	LING202 - 1
789-45-1230	LING202 - 2
264-95-5418	LING341 - 1
789-45-1230	LING368 - 1
597-12-4832	LING305 - 1
115-64-7171	MUSC101 - 1
585-92-1560	MUSC101 - 2
115-64-7171	MUSC102 - 1
585-92-1560	MUSC102 - 2
921-25-7777	MUSC201 - 1
115-64-7171	MUSC202 - 1
115-64-7171	MUSC372 - 1
921-25-7777	MUSC340 - 1
585-92-1560	MUSC303 - 1
921-25-7777	MUSC399 - 1
895-62-3212	ZEN101 - 1
996-21-4480	ZEN101 - 2
895-62-3212	ZEN101 - 3
895-62-3212	ZEN102 - 1
996-21-4480	ZEN102 - 2
996-21-4480	ZEN201 - 1
651-86-9220	ZEN202 - 1
651-86-9220	ZEN397 - 1
895-62-3212	ZEN351 - 1
651-86-9220	ZEN500 - 1
